"FIPS","x","y","caves","WNS","tau"
55101,644241.402384,614530.706258,0,Inf,244.375
55103,449046.962728,670312.642012,15,Inf,247.3636364
55105,564014.491677,599769.749978,0,Inf,240.25
55107,381218.332994,901061.429539,0,Inf,281
55109,278657.060048,848065.342599,4,Inf,253.4736842
55111,487490.320438,679593.321974,7,Inf,250.25
55113,377144.256674,946327.429019,0,Inf,281.9642857
55115,571087.496776,837206.065614,0,Inf,265.2352941
55117,645763.594722,723860.342727,0,Inf,248.3333333
55119,432603.166122,874486.141902,0,Inf,272.1875
55121,369405.318109,770713.293072,0,Inf,252.1764706
55123,415558.214264,693647.913876,5,Inf,239
55125,502432.237541,973055.572253,0,Inf,270.3181818
55127,607089.325823,602691.294029,0,Inf,249.1538462
55129,326823.945778,946107.564686,0,Inf,272.5333333
55131,625855.025399,682678.765154,0,Inf,254.6
55133,623286.881724,643211.411107,1,Inf,247.8888889
55135,557796.055506,800644.171821,0,Inf,259.4615385
55137,538620.292888,759337.96806,0,Inf,250.2307692
55139,586640.351111,757915.648444,0,Inf,243
55141,472740.576686,793147.270428,0,Inf,258.5
56001,-802474.56317,506400.247743,1,Inf,324.7529412
56003,-948128.685121,846133.428088,14,Inf,287.3666667
56005,-759112.892143,792962.761814,0,Inf,288.4361702
56007,-901227.604773,521637.594999,4,Inf,310.7880795
56009,-769991.544892,651292.893627,2,Inf,289.1219512
56011,-678175.934138,823791.765866,4,Inf,285.3333333
56013,-1020135.17991,688169.237085,6,Inf,306.0611111
56015,-685462.075606,543985.558291,1,Inf,289.2093023
56017,-995305.041162,761610.279205,2,Inf,298.3684211
56019,-843556.087554,778562.612576,2,Inf,291.75
56021,-720850.862936,459555.868845,2,Inf,295.3090909
56023,-1196280.11767,625826.974594,1,Inf,340.9625
56025,-874055.016963,661393.383401,1,Inf,295.3584906
56027,-685794.021521,652722.720528,0,Inf,275.6734694
56029,-1073731.23696,862533.64548,6,Inf,308.0977444
56031,-735069.377745,553633.870509,0,Inf,292.5384615
56033,-857306.530773,864807.729327,3,Inf,298.7708333
56035,-1128003.85064,672232.774776,1,Inf,335.0947368
56037,-1061393.24546,538114.388408,0,Inf,296.408867
56039,-1162395.39037,809479.637222,16,Inf,342.7073171
56041,-1204258.93656,516769.411619,0,Inf,319
56043,-932811.622177,774584.198554,1,Inf,290.25
56045,-685331.517261,740617.64716,3,Inf,278.6170213
