"","d","theta","rho","offsets","logsdcounty","logsdyears","dgr","thetagr","rhogr","offsetsgr","logsdcountygr","logsdyearsgr"
"143",60,1,0.5,0.01,0,0,8.00832179412713e-29,5.24573019538439e-27,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"144",85,1,0.5,0.01,0,0,1.11219123529403e-39,1.00657187366592e-37,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"145",110,1,0.5,0.01,0,0,1.54460494428689e-50,1.78407260382418e-48,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"146",135,1,0.5,0.01,0,0,2.14513867598019e-61,3.013994686288e-59,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"147",160,1,0.5,0.01,0,0,2.9791565514576e-72,4.93060803911124e-70,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"148",10,1.25,0.5,0.01,0,0,1.05515643950181e-08,1.32090354602086e-07,-0.5922339468288,15.0964336491049,-42.832261384874,26.5266770149074
"149",35,1.25,0.5,0.01,0,0,2.82887849481174e-22,9.19910450467963e-21,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"150",60,1.25,0.5,0.01,0,0,7.58423418607527e-36,3.98313031293255e-34,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"151",85,1.25,0.5,0.01,0,0,2.03333611870307e-49,1.4745460012257e-47,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"152",110,1.25,0.5,0.01,0,0,5.45138199874341e-63,5.04353993225706e-61,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"153",135,1.25,0.5,0.01,0,0,1.46151762233866e-76,1.64447853103707e-74,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"154",160,1.25,0.5,0.01,0,0,3.91833439832121e-90,5.19252018185884e-88,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"155",10,1.5,0.5,0.01,0,0,2.5032792083211e-10,2.62567206554867e-09,-0.592233951487017,15.0964336417316,-42.832261385055,26.5266770124846
"156",35,1.5,0.5,0.01,0,0,1.29558592375084e-26,3.51824089315836e-25,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"157",60,1.5,0.5,0.01,0,0,6.70537621311499e-43,2.93844762880613e-41,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"158",85,1.5,0.5,0.01,0,0,3.47040434255729e-59,2.09921045721491e-57,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"159",110,1.5,0.5,0.01,0,0,1.7961268567279e-75,1.38581239512836e-73,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"160",135,1.5,0.5,0.01,0,0,9.29595334439325e-92,8.7216738361077e-90,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"161",160,1.5,0.5,0.01,0,0,4.81117178652744e-108,5.31581223256509e-106,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"162",10,1.75,0.5,0.01,0,0,5.67730635628921e-12,5.12128858402912e-11,-0.59223395157936,15.0964336415826,-42.8322613850584,26.5266770124356
"163",35,1.75,0.5,0.01,0,0,5.67229418510527e-31,1.32200446966353e-29,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"164",60,1.75,0.5,0.01,0,0,5.6672864388827e-50,2.13044969544864e-48,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"165",85,1.75,0.5,0.01,0,0,5.66228311371471e-69,2.93746643014335e-67,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"166",110,1.75,0.5,0.01,0,0,5.65728420569843e-88,3.743056565903e-86,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"167",135,1.75,0.5,0.01,0,0,5.65228971093375e-107,4.54722199265545e-105,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"168",160,1.75,0.5,0.01,0,0,5.64729962552479e-126,5.34996459810291e-124,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"169",10,2,0.5,0.01,0,0,1.24805720188242e-13,9.87176415969616e-13,-0.592233951581295,15.0964336415789,-42.8322613850584,26.5266770124342
"170",35,2,0.5,0.01,0,0,2.40719013838089e-35,4.91300403519122e-34,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"171",60,2,0.5,0.01,0,0,4.64286761342233e-57,1.52795403026992e-55,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"172",85,2,0.5,0.01,0,0,8.95493020350522e-79,4.0664073790172e-77,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"173",110,2,0.5,0.01,0,0,1.72718202685381e-100,1.00020601476058e-98,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"174",135,2,0.5,0.01,0,0,3.33130207170038e-122,2.34555995786456e-120,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"175",160,2,0.5,0.01,0,0,6.42524836431383e-144,5.32715445766086e-142,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"176",10,2.25,0.5,0.01,0,0,2.68281811256348e-15,1.88874074623896e-14,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"177",35,2.25,0.5,0.01,0,0,9.98910602268308e-40,1.81314743329636e-38,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"178",60,2.25,0.5,0.01,0,0,3.71930689841143e-64,1.08835695078895e-62,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
