"","d","theta","rho","offsets","logsdcounty","logsdyears","dgr","thetagr","rhogr","offsetsgr","logsdcountygr","logsdyearsgr"
"431",85,2.25,0.25,1.01,0,0,7.50183661001359e-89,3.0252086067919e-87,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"432",110,2.25,0.25,1.01,0,0,2.79320617791226e-113,1.43675125820337e-111,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"433",135,2.25,0.25,1.01,0,0,1.0400120874284e-137,6.50511563595457e-136,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"434",160,2.25,0.25,1.01,0,0,3.87234265250573e-162,2.85235106088648e-160,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"435",10,2.5,0.25,1.01,0,0,3.15757811664715e-17,1.98820537322197e-16,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"436",35,2.5,0.25,1.01,0,0,2.26959823264945e-44,3.6986768601643e-43,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"437",60,2.5,0.25,1.01,0,0,1.63133767316425e-71,4.28986587258199e-70,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"438",85,2.5,0.25,1.01,0,0,1.17256991374127e-98,4.25603187193775e-97,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"439",110,2.5,0.25,1.01,0,0,8.42817661376186e-126,3.90196047837373e-124,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"440",135,2.5,0.25,1.01,0,0,6.05798939579768e-153,3.41044296687906e-151,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"441",160,2.5,0.25,1.01,0,0,4.35435055545398e-180,2.88678702348958e-178,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"442",10,0.5,0.5,1.01,0,0,0.000167480203105652,0.00488715918000358,-0.603788507521961,24.3690459705438,-79.4367495977076,22.0768063114275
"443",35,0.5,0.5,1.01,0,0,6.24107107363963e-10,4.94170889608328e-08,-0.603988559947958,24.3687301513969,-79.436766027281,22.076708345647
"444",60,0.5,0.5,1.01,0,0,2.32583073090921e-15,3.00451887838888e-13,-0.603988560693002,24.3687301502218,-79.4367660273423,22.0767083452821
