"","a","dist","rho","theta","loglikelhood"
"432","0.1","55","0.9","2",-1331.41622998498
"433","0.1","65","0.1","0.6",-1326.46122384234
"434","0.1","65","0.1","0.8",-1327.76516157605
"435","0.1","65","0.1","1",-1328.55339083322
"436","0.1","65","0.1","1.2",-1328.99299416967
"437","0.1","65","0.1","1.4",-1329.22792084981
"438","0.1","65","0.1","1.6",-1329.35034945204
"439","0.1","65","0.1","1.8",-1329.41315816039
"440","0.1","65","0.1","2",-1329.44505680886
"441","0.1","65","0.2","0.6",-1325.68593388897
"442","0.1","65","0.2","0.8",-1326.92732517056
"443","0.1","65","0.2","1",-1327.67799418657
"444","0.1","65","0.2","1.2",-1328.09679422573
"445","0.1","65","0.2","1.4",-1328.32068220366
"446","0.1","65","0.2","1.6",-1328.43739914276
"447","0.1","65","0.2","1.8",-1328.49729813888
"448","0.1","65","0.2","2",-1328.52772907493
"449","0.1","65","0.3","0.6",-1325.04903039097
"450","0.1","65","0.3","0.8",-1326.22006466638
"451","0.1","65","0.3","1",-1326.92854003527
"452","0.1","65","0.3","1.2",-1327.32400000455
"453","0.1","65","0.3","1.4",-1327.5355196621
"454","0.1","65","0.3","1.6",-1327.64584557154
"455","0.1","65","0.3","1.8",-1327.70249352889
"456","0.1","65","0.3","2",-1327.73128727953
"457","0.1","65","0.4","0.6",-1324.58596444401
"458","0.1","65","0.4","0.8",-1325.67657424462
"459","0.1","65","0.4","1",-1326.33683390148
"460","0.1","65","0.4","1.2",-1326.70563023972
"461","0.1","65","0.4","1.4",-1326.9030243604
"462","0.1","65","0.4","1.6",-1327.0060539206
"463","0.1","65","0.4","1.8",-1327.05899195589
"464","0.1","65","0.4","2",-1327.08591811942
"465","0.1","65","0.5","0.6",-1324.36126827662
"466","0.1","65","0.5","0.8",-1325.3583030951
"467","0.1","65","0.5","1",-1325.96243680466
"468","0.1","65","0.5","1.2",-1326.30017965755
"469","0.1","65","0.5","1.4",-1326.48111442232
"470","0.1","65","0.5","1.6",-1326.57563815557
"471","0.1","65","0.5","1.8",-1326.62424945419
"472","0.1","65","0.5","2",-1326.64899699857
"473","0.1","65","0.6","0.6",-1324.49002482277
"474","0.1","65","0.6","0.8",-1325.37584312889
"475","0.1","65","0.6","1",-1325.91319040791
"476","0.1","65","0.6","1.2",-1326.21393661035
"477","0.1","65","0.6","1.4",-1326.37523824686
"478","0.1","65","0.6","1.6",-1326.45960364142
"479","0.1","65","0.6","1.8",-1326.50304151889
"480","0.1","65","0.6","2",-1326.52518132858
"481","0.1","65","0.7","0.6",-1325.18627019462
"482","0.1","65","0.7","0.8",-1325.93623403859
"483","0.1","65","0.7","1",-1326.39184007158
"484","0.1","65","0.7","1.2",-1326.64721617536
"485","0.1","65","0.7","1.4",-1326.78439275951
"486","0.1","65","0.7","1.6",-1326.85625077238
"487","0.1","65","0.7","1.8",-1326.89330627144
"488","0.1","65","0.7","2",-1326.91222225385
"489","0.1","65","0.8","0.6",-1326.88517189626
"490","0.1","65","0.8","0.8",-1327.46277363339
"491","0.1","65","0.8","1",-1327.81436774495
"492","0.1","65","0.8","1.2",-1328.011844152
"493","0.1","65","0.8","1.4",-1328.11814057363
"494","0.1","65","0.8","1.6",-1328.17394027999
"495","0.1","65","0.8","1.8",-1328.20277645544
"496","0.1","65","0.8","2",-1328.21752813655
"497","0.1","65","0.9","0.6",-1330.61929082151
"498","0.1","65","0.9","0.8",-1330.96520182096
"499","0.1","65","0.9","1",-1331.17637493501
"500","0.1","65","0.9","1.2",-1331.29533408147
"501","0.1","65","0.9","1.4",-1331.35956305812
"502","0.1","65","0.9","1.6",-1331.39338535657
"503","0.1","65","0.9","1.8",-1331.41091933798
"504","0.1","65","0.9","2",-1331.41991767386
"505","0.1","75","0.1","0.6",-1326.70986618506
"506","0.1","75","0.1","0.8",-1327.95044082241
"507","0.1","75","0.1","1",-1328.67657001838
"508","0.1","75","0.1","1.2",-1329.06940113234
"509","0.1","75","0.1","1.4",-1329.27319408705
"510","0.1","75","0.1","1.6",-1329.37633283502
"511","0.1","75","0.1","1.8",-1329.42773034508
"512","0.1","75","0.1","2",-1329.45309002266
"513","0.1","75","0.2","0.6",-1325.92280581141
"514","0.1","75","0.2","0.8",-1327.10386884139
"515","0.1","75","0.2","1",-1327.7953967566
"516","0.1","75","0.2","1.2",-1328.16963971252
"517","0.1","75","0.2","1.4",-1328.36385889979
"518","0.1","75","0.2","1.6",-1328.46218706927
"519","0.1","75","0.2","1.8",-1328.51120415323
"520","0.1","75","0.2","2",-1328.53539743116
"521","0.1","75","0.3","0.6",-1325.27267278825
"522","0.1","75","0.3","0.8",-1326.3868050588
"523","0.1","75","0.3","1",-1327.03946929952
"524","0.1","75","0.3","1.2",-1327.39286062843
"525","0.1","75","0.3","1.4",-1327.57635390336
"526","0.1","75","0.3","1.6",-1327.66930000311
"527","0.1","75","0.3","1.8",-1327.71565781635
"528","0.1","75","0.3","2",-1327.73854995303
"529","0.1","75","0.4","0.6",-1324.79447900606
"530","0.1","75","0.4","0.8",-1325.83211172857
"531","0.1","75","0.4","1",-1326.44036956958
"532","0.1","75","0.4","1.2",-1326.76994141129
"533","0.1","75","0.4","1.4",-1326.94118558245
"534","0.1","75","0.4","1.6",-1327.02798752783
"535","0.1","75","0.4","1.8",-1327.07131064769
"536","0.1","75","0.4","2",-1327.0927188651
"537","0.1","75","0.5","0.6",-1324.5521590068
"538","0.1","75","0.5","0.8",-1325.50078774615
"539","0.1","75","0.5","1",-1326.05735549812
"540","0.1","75","0.5","1.2",-1326.35918679849
"541","0.1","75","0.5","1.4",-1326.51615826774
"542","0.1","75","0.5","1.6",-1326.59579749621
"543","0.1","75","0.5","1.8",-1326.63558158235
"544","0.1","75","0.5","2",-1326.65525843996
"545","0.1","75","0.6","0.6",-1324.65992343611
