"","county","year","shareduserfoi","incidence","previousyear","previnf"
"560","Boone-Arkansas","2014",0.0199628970827462,1,0,0.0133659411173436
"565","Boone-Missouri","2007",0,0,0,0.0734423508595368
"566","Boone-Missouri","2008",0,0,0,0
"567","Boone-Missouri","2009",0.000891428213135629,0,0,0
"568","Boone-Missouri","2010",0.00135230908777442,0,0,0.000891428213135629
"569","Boone-Missouri","2011",0.0201596969947227,0,0,0.00135230908777442
"570","Boone-Missouri","2012",0.0165970162576877,0,0,0.0201596969947227
"571","Boone-Missouri","2013",0.0234027841290141,1,0,0.0165970162576877
"577","Botetourt-Virginia","2007",0,0,0,0.0361950597820876
"578","Botetourt-Virginia","2008",0,0,0,0
"579","Botetourt-Virginia","2009",0.455544294925859,0,0,0
"580","Botetourt-Virginia","2010",0.116715133682223,1,0,0.455544294925859
"589","Breckinridge-Kentucky","2007",0,0,0,0.684344269755062
"590","Breckinridge-Kentucky","2008",0,0,0,0
"591","Breckinridge-Kentucky","2009",0.00876780091716992,0,0,0
"592","Breckinridge-Kentucky","2010",0.00729629936434753,0,0,0.00876780091716992
"593","Breckinridge-Kentucky","2011",0.145474632515844,1,0,0.00729629936434753
"601","Bruce-Ontario","2007",0,0,0,0.344309112055011
"602","Bruce-Ontario","2008",0,0,0,0
"603","Bruce-Ontario","2009",0.139476105143263,0,0,0
"604","Bruce-Ontario","2010",0.162099225572396,1,0,0.139476105143263
"613","Buchanan-Missouri","2007",0,0,0,0.157781384334925
"614","Buchanan-Missouri","2008",0,0,0,0
"615","Buchanan-Missouri","2009",0.000793895477244897,0,0,0
"616","Buchanan-Missouri","2010",0.000815687952246774,0,0,0.000793895477244897
"617","Buchanan-Missouri","2011",0.0127582305451641,0,0,0.000815687952246774
"618","Buchanan-Missouri","2012",0.0130724926485705,0,0,0.0127582305451641
"619","Buchanan-Missouri","2013",0.105671964767218,0,0,0.0130724926485705
"620","Buchanan-Missouri","2014",0.174254244660122,0,0,0.105671964767218
"621","Buchanan-Missouri","2015",0.135675172706462,1,0,0.174254244660122
"625","Bucks-Pennsylvania","2007",0,0,0,0.0884773586312796
"626","Bucks-Pennsylvania","2008",0,0,0,0
"627","Bucks-Pennsylvania","2009",0.072293203626127,1,0,0
"637","Buncombe-North Carolina","2007",0,0,0,0.0699187357188363
"638","Buncombe-North Carolina","2008",0,0,0,0
"639","Buncombe-North Carolina","2009",0.0196939780272458,0,0,0
"640","Buncombe-North Carolina","2010",0.0052920035962667,0,0,0.0196939780272458
"641","Buncombe-North Carolina","2011",0.312241927485764,0,0,0.0052920035962667
