"","year","county1","county2","num.shared","incidence","date","inf.counties"
"277","2013-01-01","Maury","Hartford",1,0,2013-01-01,474
"278","2013-01-01","Maury","Hamilton",1,0,2013-01-01,474
"279","2013-01-01","Maury","Morris",1,0,2013-01-01,474
"280","2013-01-01","Maury","Orange",1,0,2013-01-01,474
"281","2013-01-01","Maury","Blair",1,0,2013-01-01,474
"282","2013-01-01","Maury","Les Collines-De-L'Outaouais",1,0,2013-01-01,474
"283","2013-01-01","Maury","Greenbrier",1,0,2013-01-01,474
"284","2013-01-01","Maury","Sullivan",1,0,2013-01-01,474
"285","2013-01-01","Maury","Hastings County",1,0,2013-01-01,474
"286","2013-01-01","Maury","Huntingdon",1,0,2013-01-01,474
"287","2013-01-01","Maury","Hancock",1,0,2013-01-01,474
"288","2013-01-01","Maury","Clearfield",1,0,2013-01-01,474
"289","2013-01-01","Maury","Colchester County",1,0,2013-01-01,474
"290","2013-01-01","Maury","Cuyahoga",1,0,2013-01-01,474
"291","2013-01-01","Maury","Westmorland County",1,0,2013-01-01,474
"292","2013-01-01","Maury","Franklin",1,0,2013-01-01,474
"293","2013-01-01","Maury","Ulster",1,0,2013-01-01,474
"294","2013-01-01","Maury","Bennington",1,0,2013-01-01,474
"295","2013-01-01","Maury","Rowan",1,0,2013-01-01,474
"296","2013-01-01","Keweenaw","Ontonagon",12,1,2013-01-01,474
"297","2013-01-01","Keweenaw","Keweenaw",1,0,2013-01-01,474
"298","2013-01-01","Keweenaw","Maury",7,1,2013-01-01,474
"299","2013-01-01","Keweenaw","York County",1,1,2013-01-01,474
"300","2013-01-01","Keweenaw","Hardin",7,1,2013-01-01,474
"301","2013-01-01","Keweenaw","Hocking",4,1,2013-01-01,474
"302","2013-01-01","Keweenaw","Marion",2,1,2013-01-01,474
"303","2013-01-01","Keweenaw","Houghton",1,0,2013-01-01,474
"304","2013-01-01","Keweenaw","La Côte-De-Gaspé",1,0,2013-01-01,474
"305","2013-01-01","Keweenaw","Phelps",1,0,2013-01-01,474
"306","2013-01-01","Keweenaw","St. Louis County",1,0,2013-01-01,474
"307","2013-01-01","Keweenaw","Taney",1,0,2013-01-01,474
"308","2013-01-01","Keweenaw","Newton",1,0,2013-01-01,474
"309","2013-01-01","Keweenaw","Pulaski",1,0,2013-01-01,474
"310","2013-01-01","Keweenaw","Lewis",1,0,2013-01-01,474
"311","2013-01-01","Keweenaw","Warren",1,0,2013-01-01,474
"312","2013-01-01","Keweenaw","Edmonson",1,0,2013-01-01,474
"313","2013-01-01","Keweenaw","Lee",1,0,2013-01-01,474
"314","2013-01-01","Keweenaw","Rockcastle",1,0,2013-01-01,474
"315","2013-01-01","Keweenaw","Carter",1,0,2013-01-01,474
"316","2013-01-01","Keweenaw","Letcher",1,0,2013-01-01,474
"317","2013-01-01","Keweenaw","Meade",1,0,2013-01-01,474
"318","2013-01-01","Keweenaw","Washington",1,0,2013-01-01,474
"319","2013-01-01","Keweenaw","Haliburton County",1,0,2013-01-01,474
"320","2013-01-01","Keweenaw","Fairfield",1,0,2013-01-01,474
"321","2013-01-01","Keweenaw","Wise",1,0,2013-01-01,474
"322","2013-01-01","Keweenaw","Kings County",1,0,2013-01-01,474
"323","2013-01-01","Keweenaw","Nipissing District (Part 1 Of)",1,0,2013-01-01,474
"324","2013-01-01","Keweenaw","Halton Regional Municipality",1,0,2013-01-01,474
"325","2013-01-01","Keweenaw","Oxford",1,0,2013-01-01,474
"326","2013-01-01","Keweenaw","Saint John County",1,0,2013-01-01,474
"327","2013-01-01","Keweenaw","Roanoke",1,0,2013-01-01,474
"328","2013-01-01","Keweenaw","Crawford",1,0,2013-01-01,474
"329","2013-01-01","Keweenaw","Monroe",1,0,2013-01-01,474
"330","2013-01-01","Keweenaw","Montgomery",1,0,2013-01-01,474
"331","2013-01-01","Keweenaw","Smyth",1,0,2013-01-01,474
"332","2013-01-01","Keweenaw","Luzerne",1,0,2013-01-01,474
"333","2013-01-01","Keweenaw","Centre",1,0,2013-01-01,474
"334","2013-01-01","Keweenaw","Putnam",1,0,2013-01-01,474
"335","2013-01-01","Keweenaw","Giles",1,0,2013-01-01,474
"336","2013-01-01","Keweenaw","Hartford",1,0,2013-01-01,474
"337","2013-01-01","Keweenaw","Hamilton",1,0,2013-01-01,474
"338","2013-01-01","Keweenaw","Morris",1,0,2013-01-01,474
"339","2013-01-01","Keweenaw","Orange",1,0,2013-01-01,474
"340","2013-01-01","Keweenaw","Blair",1,0,2013-01-01,474
"341","2013-01-01","Keweenaw","Les Collines-De-L'Outaouais",1,0,2013-01-01,474
"342","2013-01-01","Keweenaw","Greenbrier",1,0,2013-01-01,474
"343","2013-01-01","Keweenaw","Sullivan",1,0,2013-01-01,474
"344","2013-01-01","Keweenaw","Hastings County",1,0,2013-01-01,474
"345","2013-01-01","Keweenaw","Huntingdon",1,0,2013-01-01,474
"346","2013-01-01","Keweenaw","Hancock",1,0,2013-01-01,474
